country name,iso,region
Argentina,ARG,Latin America and the Caribbean
Australia,AUS,Australia and New Zealand
Austria,AUT,Western Europe
Bangladesh,BGD,Southern Asia
Belgium,BEL,Western Europe
Bulgaria,BGR,Eastern Europe
Bhutan,BTN,Southern Asia
Bolivia,BOL,Latin America and the Caribbean
Brazil,BRA,Latin America and the Caribbean
Brunei Darussalam,BRN,South-eastern Asia
Cambodia,KHM,South-eastern Asia
Canada,CAN,Northern America
Chile,CHL,Latin America and the Caribbean
Colombia,COL,Latin America and the Caribbean
Cyprus,CYP,Western Asia
Czech Republic,CZE,Eastern Europe
Denmark,DNK,Northern Europe
Ecuador,ECU,Latin America and the Caribbean
Estonia,EST,Northern Europe
Fiji,FJI,Melanesia
Finland,FIN,Northern Europe
France,FRA,Western Europe
Germany,DEU,Western Europe
Greece,GRC,Southern Europe
"Hong Kong, China",HKG,Eastern Asia
Croatia,HRV,Southern Europe
Hungary,HUN,Eastern Europe
India,IND,Southern Asia
Indonesia,IDN,South-eastern Asia
Ireland,IRL,Northern Europe
Italy,ITA,Southern Europe
Japan,JPN,Eastern Asia
Kazakhstan,KAZ,Central Asia
Kyrgyz Republic,KGZ,Central Asia
Republic of Korea,KOR,Eastern Asia
Lao People's Democratic Republic,LAO,South-eastern Asia
Lithuania,LTU,Northern Europe
Luxembourg,LUX,Western Europe
Latvia,LVA,Northern Europe
Malaysia,MYS,South-eastern Asia
Mexico,MEX,Latin America and the Caribbean
Maldives,MDV,Southern Asia
Malta,MLT,Southern Europe
Mongolia,MNG,Eastern Asia
Nepal,NPL,Southern Asia
Netherlands,NLD,Western Europe
Norway,NOR,Northern Europe
Pakistan,PAK,Southern Asia
Paraguay,PRY,Latin America and the Caribbean
Peru,PER,Latin America and the Caribbean
Philippines,PHL,South-eastern Asia
Poland,POL,Eastern Europe
Portugal,PRT,Southern Europe
People's Republic of China,CHN,Eastern Asia
Rest of the Latin American Countries,RoLAC,Latin America and the Caribbean
Romania,ROU,Eastern Europe
Rest of the World,RoW,-
Russia,RUS,Eastern Europe
Singapore,SGP,South-eastern Asia
Spain,ESP,Southern Europe
Sri Lanka,LKA,Southern Asia
Slovak Republic,SVK,Eastern Europe
Slovenia,SVN,Southern Europe
Sweden,SWE,Northern Europe
Switzerland,CHE,Western Europe
"Taipei,China",TWN,Eastern Asia
Thailand,THA,South-eastern Asia
Turkey,TUR,Western Asia
United Kingdom,GBR,Northern Europe
Uruguay,URY,Latin America and the Caribbean
United States,USA,Northern America
Venezuela,VEN,Latin America and the Caribbean
Viet Nam,VNM,South-eastern Asia
