"All",0
"agriculture hunting forestry and fishing",1
"mining and quarrying",2
"food beverages and tobacco",3
"textiles and textile products",4
"leather leather products and footwear",5
"wood and products of wood and cork",6
"pulp paper paper products printing and publishing",7
"coke refined petroleum and nuclear fuel",8
"chemicals and chemical products",9
"rubber and plastics",10
"other nonmetallic minerals",11
"basic metals and fabricated metal",12
"machinery nec",13
"electrical and optical equipment",14
"transport equipment",15
"manufacturing nec recycling",16
"electricity gas and water supply",17
"construction",18
"sale maintenance and repair of motor vehicles and motorcycles retail sale of fuel",19
"wholesale trade and commission trade except of motor vehicles and motorcycles",20
"retail trade except of motor vehicles and motorcycles repair of household goods",21
"hotels and restaurants",22
"inland transport",23
"water transport",24
"air transport",25
"other supporting and auxiliary transport activities activities of travel agencies",26
"post and telecommunications",27
"financial intermediation",28
"real estate activities",29
"renting of m&eq and other business activities",30
"public administration and defense compulsory social security",31
"education",32
"health and social work",33
"other community social and personal services",34
"private households with employed persons",35
